PERIOD,AT FULL CHARGE ACTIVE,CONNECTED_STANDBY_TIME,CONNECTED_STANDBY_PERCENT,AT DESIGN CAPACITY ACTIVE,DESIGN_CONNECTED_STANDBY_TIME,DESIGN_CONNECTED_STANDBY_PERCENT
2023-10-08 - 2023-10-12,3:07:36,4:45:26,336,3:02:50,4:38:12,345
2023-10-12 - 2023-10-16,4:30:52,10:02:24,159,4:25:24,9:50:16,163
2023-10-16 - 2023-10-25,58:55:18,26:16:44,61,58:01:30,25:52:44,62
2023-10-25 - 2023-10-30,5:47:59,6:14:39,256,5:43:51,6:10:13,259
2023-10-30 - 2023-11-08,4:18:10,13:37:26,117,4:15:06,13:27:45,119
2023-11-08 - 2023-11-14,5:07:58,12:49:19,125,5:04:20,12:40:13,126
2023-11-14 - 2023-11-20,4:55:28,6:05:39,263,4:51:59,6:01:19,266
2023-11-20 - 2023-11-27,5:15:37,14:24:17,111,5:11:52,14:14:04,112
2023-11-27 - 2023-12-04,5:00:57,21:22:57,75,4:57:41,21:08:59,76
2023-12-04 - 2023-12-14,5:14:27,16:25:21,97,5:14:55,16:26:51,97
2023-12-14 - 2023-12-22,4:50:13,17:58:44,89,5:02:59,18:46:10,85
2023-12-22 - 2023-12-26,3:34:20,9:35:46,167,3:43:45,10:01:05,160
2023-12-26 - 2024-01-01,3:35:18,15:52:07,101,3:44:46,16:33:59,97
2024-01-01 - 2024-01-09,3:54:57,27:50:43,57,4:05:17,29:04:11,55
2024-01-09 - 2024-01-15,2:53:04,5:00:39,319,3:00:40,5:13:52,306
2024-01-15 - 2024-02-03,2:57:58,12:51:32,124,3:05:47,13:25:28,119
2024-02-03 - 2024-02-08,3:00:37,9:32:10,168,3:08:34,9:57:19,161
2024-02-08 - 2024-02-12,3:21:11,12:29:03,128,3:30:02,13:01:59,123
2024-02-12 - 2024-02-20,2:55:22,7:37:56,210,3:03:05,7:58:04,201
2024-02-20 - 2024-03-02,3:10:57,22:15:37,72,3:19:21,23:14:20,69
2024-03-02 - 2024-03-19,2:30:34,11:12:56,143,2:40:21,11:56:40,134
