DATE,TIME,STATE,SOURCE,CAPACITY REMAINING PERCENT,CAPACITY REMAINING
2025-03-26,15:33:11,Active,Battery,60 %,44471.0
2025-03-26,17:49:13,Connected standby,Battery,8 %,6201.0
2025-03-26,18:04:58,Suspended,,7 %,5440.0
2025-03-26,19:26:11,Connected standby,Battery,6 %,4393.0
2025-03-26,19:26:47,Active,Battery,6 %,4124.0
2025-03-26,19:28:01,Connected standby,Battery,5 %,3362.0
2025-03-26,19:28:02,Suspended,,5 %,3362.0
2025-03-26,19:42:14,Connected standby,Battery,21 %,15638.0
2025-03-26,19:42:49,Active,Battery,21 %,15400.0
2025-03-26,19:45:06,Active,AC,20 %,14782.0
2025-03-26,20:16:15,Active,Battery,72 %,53147.0
2025-03-26,20:16:16,Active,AC,72 %,53147.0
2025-03-26,20:24:59,Active,Battery,80 %,58793.0
2025-03-26,20:25:00,Active,AC,80 %,58793.0
2025-03-26,20:28:06,Active,Battery,83 %,60760.0
2025-03-26,21:26:41,Suspended,,42 %,31133.0
2025-03-26,21:32:04,Active,Battery,38 %,27660.0
2025-03-26,22:31:48,Active,AC,8 %,5535.0
2025-03-26,23:03:24,Active,Battery,65 %,47881.0
2025-03-26,23:03:25,Active,AC,65 %,47865.0
2025-03-26,23:15:00,Active,Battery,76 %,55621.0
2025-03-26,23:45:39,Connected standby,Battery,64 %,47406.0
2025-03-26,23:58:03,Suspended,,63 %,46359.0
2025-03-27,00:00:34,Connected standby,Battery,63 %,46057.0
2025-03-27,00:01:09,Active,Battery,62 %,45883.0
2025-03-27,00:36:26,Connected standby,Battery,49 %,35970.0
2025-03-27,00:37:06,Active,Battery,49 %,35891.0
2025-03-27,00:56:00,Connected standby,Battery,41 %,30451.0
2025-03-27,00:56:36,Active,Battery,41 %,30308.0
2025-03-27,01:11:26,Connected standby,Battery,35 %,25804.0
2025-03-27,01:12:19,Active,Battery,35 %,25709.0
2025-03-27,01:18:43,Connected standby,Battery,32 %,23790.0
2025-03-27,01:18:44,Active,Battery,32 %,23790.0
2025-03-27,01:43:34,Connected standby,Battery,21 %,15559.0
2025-03-27,01:54:59,Active,Battery,20 %,14702.0
2025-03-27,02:25:02,Suspended,,6 %,4774.0
2025-03-27,04:46:34,Active,Battery,6 %,4060.0
2025-03-27,04:47:08,Connected standby,Battery,5 %,3569.0
2025-03-27,04:47:11,Connected standby,AC,5 %,3537.0
2025-03-27,04:47:13,Suspended,,5 %,3537.0
2025-03-27,04:48:32,Connected standby,AC,7 %,5123.0
2025-03-27,04:49:07,Active,AC,8 %,5789.0
2025-03-27,04:57:45,Active,Battery,23 %,17081.0
2025-03-27,05:27:09,Connected standby,Battery,11 %,8295.0
2025-03-27,05:36:37,Connected standby,AC,11 %,7946.0
2025-03-27,05:36:38,Active,AC,11 %,7946.0
2025-03-27,05:36:43,Connected standby,AC,11 %,7993.0
2025-03-27,05:36:46,Active,AC,11 %,8057.0
2025-03-27,06:12:48,Active,Battery,73 %,53987.0
2025-03-27,06:12:51,Active,AC,73 %,53972.0
2025-03-27,07:16:56,Active,Battery,100 %,73955.0
2025-03-27,07:22:00,Connected standby,Battery,99 %,73241.0
2025-03-27,07:22:00,Active,Battery,99 %,73241.0
2025-03-27,07:26:02,Connected standby,Battery,98 %,72147.0
2025-03-27,07:27:45,Active,Battery,97 %,72036.0
2025-03-27,07:39:04,Connected standby,Battery,94 %,69229.0
2025-03-27,07:39:48,Active,Battery,93 %,69054.0
2025-03-27,07:47:38,Connected standby,Battery,91 %,67120.0
2025-03-27,07:52:03,Active,Battery,90 %,66675.0
2025-03-27,07:58:49,Connected standby,Battery,88 %,65026.0
2025-03-27,08:06:29,Active,Battery,87 %,64471.0
2025-03-27,08:45:23,Connected standby,Battery,74 %,54907.0
2025-03-27,08:54:17,Suspended,,73 %,54241.0
2025-03-27,08:57:24,Connected standby,Battery,73 %,53940.0
2025-03-27,08:57:59,Active,Battery,73 %,53781.0
2025-03-27,11:35:39,Active,AC,8 %,5836.0
2025-03-27,11:36:02,Connected standby,AC,8 %,6249.0
2025-03-27,12:53:04,Active,AC,96 %,70926.0
2025-03-27,13:00:28,Active,Battery,98 %,72274.0
2025-03-27,13:00:45,Active,AC,98 %,72131.0
2025-03-27,13:00:48,Active,Battery,98 %,72131.0
2025-03-27,13:00:52,Active,AC,97 %,72100.0
2025-03-27,13:00:56,Active,Battery,97 %,72100.0
2025-03-27,13:53:40,Connected standby,Battery,82 %,60760.0
2025-03-27,13:54:54,Active,Battery,82 %,60569.0
2025-03-27,14:11:13,Connected standby,Battery,77 %,56795.0
2025-03-27,14:47:11,Active,Battery,76 %,56081.0
2025-03-27,14:47:42,Connected standby,Battery,76 %,55843.0
2025-03-27,14:47:49,Active,Battery,75 %,55780.0
2025-03-27,14:48:24,Connected standby,Battery,75 %,55573.0
2025-03-27,14:48:24,Active,Battery,75 %,55573.0
2025-03-27,14:49:08,Connected standby,Battery,75 %,55336.0
2025-03-27,14:50:23,Active,Battery,75 %,55129.0
