PERIOD,BATTERY DURATION ACTIVE,BATTERY DURATION CONNECTED STANDBY,AC DURATION ACTIVE,AC DURATION CONNECTED STANDBY
2023-10-08 - 2023-10-12,1:24:13,0:05:06,-,-
2023-10-12 - 2023-10-16,8:35:29,0:18:32,0:37:06,0:00:35
2023-10-16 - 2023-10-25,218:37:19,1:21:36,1:58:23,0:01:10
2023-10-25 - 2023-10-30,0:21:56,0:03:51,0:45:48,-
2023-10-30 - 2023-11-08,2:50:58,1:05:19,1:17:47,-
2023-11-08 - 2023-11-14,0:46:04,1:00:25,-,-
2023-11-14 - 2023-11-20,6:37:09,0:13:18,2:05:19,-
2023-11-20 - 2023-11-27,6:10:28,2:29:26,1:03:19,0:37:37
2023-11-27 - 2023-12-04,12:35:53,5:27:10,4:33:59,1:38:56
2023-12-04 - 2023-12-14,45:49:20,13:57:19,11:16:17,2:54:48
2023-12-14 - 2023-12-22,8:10:43,4:02:18,2:14:19,0:13:06
2023-12-22 - 2023-12-26,11:59:06,1:18:31,2:41:07,0:00:36
2023-12-26 - 2024-01-01,16:26:13,4:19:15,8:09:01,0:47:53
2024-01-01 - 2024-01-09,0:52:54,0:50:44,-,-
2024-01-09 - 2024-01-15,7:21:16,0:21:08,3:29:05,1:13:53
2024-01-15 - 2024-02-03,25:01:55,2:57:33,6:24:27,1:30:31
2024-02-03 - 2024-02-08,2:44:15,0:53:41,1:34:46,0:08:09
2024-02-08 - 2024-02-12,11:49:25,4:39:51,4:19:27,1:11:34
2024-02-12 - 2024-02-20,10:40:00,3:29:45,5:28:49,1:20:56
2024-02-20 - 2024-03-02,5:17:11,2:40:12,2:24:31,0:48:03
2024-03-02 - 2024-03-19,8:50:49,3:01:05,5:20:42,216:44:44
2024-03-19 - 2024-03-29,0:30:36,0:39:38,0:05:59,-
2024-03-29 - 2024-04-09,0:37:23,2:03:48,0:15:41,0:00:35
2024-04-09 - 2024-04-15,9:51:24,4:29:19,3:14:40,1:07:45
2024-04-15 - 2024-04-22,4:09:13,9:45:10,0:20:36,1:27:43
2024-04-22 - 2024-04-29,9:30:54,4:40:47,3:22:45,0:22:36
